Dataset_CIFAR-10,Dataset_CIFAR-100,Dataset_COCO,Dataset_COCO minivar,Dataset_CityScapes,Dataset_ImageNet,Dataset_KITTI,Dataset_MNIST,Dataset_NYU Depth v2,Dataset_SVHN,Dataset_ShapeNet,Task_Depth Estimation,Task_Image Classification,Task_Object Detection,Task_Semantic Segmentation,Task_Text to Image,accuracy_norm,difficulty
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7880597014925371,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7880597014925371,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7880597014925371,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7880597014925371,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7874626865671641,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7862686567164177,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7850746268656716,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7850746268656716,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7850746268656716,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7850746268656716,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7850746268656716,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7850746268656716,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7820895522388057,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7811940298507459,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7791044776119401,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7776119402985074,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.776417910447761,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7761194029850746,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7761194029850746,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7761194029850746,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7761194029850746,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7761194029850746,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7731343283582087,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7701492537313432,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7701492537313432,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7701492537313432,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7701492537313432,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7701492537313432,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7701492537313432,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7671641791044773,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7671641791044773,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7671641791044773,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7641791044776118,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7641791044776118,0.7801000883132175
False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.7641791044776118,0.7801000883132175
