Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,CIFAR-10,CCN,83.0,0.5897435897435898,0.906075M,['Xformer'],2107.02239v4
Image Classification,CIFAR-10,CvN,83.0,0.5897435897435898,,[],2107.02239v4
Image Classification,CIFAR-10,CvP,83.0,0.5897435897435898,,[],2107.02239v4
Image Classification,CIFAR-10,UL-Hopfield (ULH),83.0,0.5897435897435898,,[],1805.01033v1
Image Classification,CIFAR-10,DCGAN,82.0,0.5641025641025641,,[],1511.06434v2
Image Classification,CIFAR-10,CKN,82.0,0.5641025641025641,,[],1406.3332v2
Image Classification,CIFAR-10,Sign-symmetry,80.0,0.5128205128205128,,[],1510.05067v4
Image Classification,CIFAR-10,pFedBreD_ns_mg,80.0,0.5128205128205128,,[],2211.10684v2
Image Classification,CIFAR-10,1 Layer K-means,80.0,0.5128205128205128,,[],1511.06434v2
Image Classification,CIFAR-10,LeViP,79.0,0.4871794871794871,,[],2107.02239v4
Image Classification,CIFAR-10,PCANet,78.0,0.4615384615384615,,[],1404.3606v2
Image Classification,CIFAR-10,Hybrid ViT+RoPE,76.0,0.4102564102564102,,[],2107.02239v4
Image Classification,CIFAR-10,FLSCNN,75.0,0.3846153846153846,,[],1503.04596v3
Image Classification,CIFAR-10,Hybrid Vision Nystromformer (ViN),75.0,0.3846153846153846,0.623706M,['Xformer'],2107.02239v4
Image Classification,CIFAR-10,Hybrid PiN,74.0,0.358974358974359,0.990298M,['Xformer'],2107.02239v4
Image Classification,CIFAR-10,SmoothNetV1,73.0,0.3333333333333333,,[],2205.04095v1
Image Classification,CIFAR-10,Vision Nystromformer (ViN),65.0,0.1282051282051282,0.530970M,['Xformer'],2107.02239v4
Image Classification,CIFAR-10,ANODE,60.0,0.0,,[],1904.01681v3
Image Classification,CIFAR-100,EffNet-L2 (SAM),96.0,1.0,,[],2010.01412v3
Image Classification,CIFAR-100,Swin-L + ML-Decoder,95.0,0.9836065573770492,,[],2111.12933v2
Image Classification,CIFAR-100,\u00b52Net (ViT-L/16),94.0,0.9672131147540984,,[],2205.12755v6
Image Classification,CIFAR-100,ViT-B-16 (ImageNet-21K-P pretrain),94.0,0.9672131147540984,,['Transformer'],2104.10972v4
Image Classification,CIFAR-100,CvT-W24,94.0,0.9672131147540984,,['Transformer'],2103.15808v1
Image Classification,CIFAR-100,ViT-B/16 (PUGD),93.0,0.9508196721311476,,[],2110.00199v2
Image Classification,CIFAR-100,Heinsen Routing + BEiT-large 16 224,93.0,0.9508196721311476,309.8M,[],2211.11754v3
Image Classification,CIFAR-100,BiT-L (ResNet),93.0,0.9508196721311476,,['ResNet'],1912.11370v3
Image Classification,CIFAR-100,Astroformer,93.0,0.9508196721311476,,[],2304.05350v2
Image Classification,CIFAR-100,VIT-L/16,93.0,0.9508196721311476,,[],2305.03238v3
Image Classification,CIFAR-100,CaiT-M-36 U 224,93.0,0.9508196721311476,,['Transformer'],2103.17239v2
Image Classification,CIFAR-100,ViT-L (attn fine-tune),93.0,0.9508196721311476,,[],2203.09795v1
Image Classification,CIFAR-100,TResNet-L-V2,92.0,0.9344262295081968,,[],2003.13630v3
Image Classification,CIFAR-100,EfficientNetV2-L,92.0,0.9344262295081968,,['EfficientNet'],2104.00298v3
Image Classification,CIFAR-100,EfficientNetV2-M,92.0,0.9344262295081968,,['EfficientNet'],2104.00298v3
Image Classification,CIFAR-100,BiT-M (ResNet),92.0,0.9344262295081968,,['ResNet'],1912.11370v3
Image Classification,CIFAR-100,CeiT-S,91.0,0.918032786885246,,['Transformer'],2103.11816v2
Image Classification,CIFAR-100,CeiT-S (384 finetune resolution),91.0,0.918032786885246,,['Transformer'],2103.11816v2
Image Classification,CIFAR-100,EfficientNet-B7,91.0,0.918032786885246,64M,['EfficientNet'],1905.11946v5
Image Classification,CIFAR-100,EfficientNetV2-S,91.0,0.918032786885246,,['EfficientNet'],2104.00298v3
Image Classification,CIFAR-100,GPIPE,91.0,0.918032786885246,,[],1811.06965v5
