name|accuracy|params|hardware_req|tags|id
ReActNet-A (BN-Free)|68.0|null|null|['CNN', 'ImageNet-1k only']|2104.08215v1
DY-ResNet-10|67.7|18600000.0|null|['ImageNet-1k only']|1912.03458v2
WaveMixLite-256/24|67.7|32400000.0|null|[']']|Null
PSN (SEW ResNet-18)|67.63|null|null|['SNN']|Null
MUXNet-xs|66.7|1800000.0|null|['ImageNet-1k only']|2003.13880v2
PAWS (ResNet-50, 1% labels)|66.5|null|null|['ImageNet-1k only', 'ResNet']|2104.13963v3
GhostNet \u00d70.5|66.2|2600000.0|null|[']']|1911.11907v2
DGPPF-MobileNetV2|65.59|1030000.0|null|[']']|Null
DGPPF-ResNet18|65.22|1150000.0|null|[']']|Null
OTTT|65.15|null|null|['SNN']|2210.04195v2
DY-MobileNetV2 \u00d70.35|64.9|2800000.0|null|['ImageNet-1k only']|1912.03458v2
BBG (ResNet-34)|62.6|null|null|['ImageNet-1k only', 'ResNet']|1909.12117v2
SimpleNetV1-small-05|61.52|1500000.0|null|[']']|1608.06037v8
BBG (ResNet-18)|59.4|null|null|['ImageNet-1k only', 'ResNet']|1909.12117v2
FireCaffe (AlexNet)|58.9|null|null|['ImageNet-1k only']|1511.00175v2
EVA (EVA-CLIP)|null|0|null|[']']|2211.07636v2
MobileNet-224 \u00d71.0|null|4200000.0|null|[']']|1704.04861v1
Inception V2|null|11200000.0|null|['ImageNet-1k only']|1502.03167v3
DaViT-S|null|49700000.0|null|['ImageNet-1k only', 'Transformer']|2204.03645v1
