name|accuracy|params|hardware_req|tags|id
ResNeXt-101 32x48d|85.4|829000000.0|null|['IG-1B', 'ResNeXt']|1805.00932v1
BiT-M (ResNet)|85.39|928000000.0|null|['ImageNet-22k', 'ResNet']|1912.11370v3
ViT-L/16 Dosovitskiy et al. (2021)|85.3|null|null|['JFT-300M', 'Transformer']|2105.01601v4
Omnivore (Swin-B)|85.3|null|null|[']']|2201.08377v2
NoisyStudent (EfficientNet-B4)|85.3|19000000.0|null|['EfficientNet']|1911.04252v4
CAIT-S-48|85.3|89500000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
ViT-L @224 (DeiT-III + AugSub)|85.3|304000000.0|null|[']']|Null
CLCNet (S:D1+D:D5)|85.28|null|null|['ImageNet-1k only']|2205.09612v5
MaxViT-T (384res)|85.24|null|null|[']']|2204.01697v4
ViT-H @224 (DeiT III)|85.2|null|null|['ImageNet-1k only']|2204.07118v1
VOLO-D1|85.2|27000000.0|null|['ImageNet-1k only']|2106.13112v2
CAFormer-M36 (224 res)|85.2|56000000.0|null|['ImageNet-1k only']|2210.13452v3
AdvProp (EfficientNet-B7)|85.2|66000000.0|null|['ImageNet-1k only', 'EfficientNet']|1911.09665v2
UniNet-B5|85.2|73500000.0|null|[']']|2110.04035v1
DeiT-B 384|85.2|87000000.0|null|['ImageNet-1k only', 'Transformer']|2012.12877v2
EfficientNetV2-M|85.1|null|null|['ImageNet-1k only', 'EfficientNet']|2104.00298v3
MKD ViT-B|85.1|null|null|['Teacher-22k', 'ImageNet-22k']|2202.07940v1
"SP-ViT-S|384"|85.1|null|null|[']']|2206.07662v1
XCiT-S12|85.1|26000000.0|null|['Transformer', 'ImageNet-1k only']|2106.09681v2
CAIT-S-24|85.1|46900000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
ResNet200_vd_26w_4s_ssld|85.1|76000000.0|null|['ResNet']|Null
MixMIM-B|85.1|88000000.0|null|[']']|2205.13137v4
